Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,LowDoc,ChgOffPrinGr,SBA_Appv,DaysforDisbursement,Default
12,57,New,16,19,0,Urban,No,4806,867263,25,1
60,89,Existing,5,23,1,Rural,No,41360,122217,17,0
12,50,New,6,4,0,Rural,Yes,12182,576161,29,1
24,23,Existing,13,33,1,Rural,No,22297,902964,53,1
36,31,Existing,12,5,0,Urban,No,19541,922699,8,0
12,94,Existing,7,1,1,Urban,No,28921,413119,15,1
60,42,New,9,12,0,Urban,Yes,16774,668380,27,1
24,99,New,8,42,0,Rural,No,44813,838187,46,1
12,7,Existing,17,42,1,Rural,Yes,37198,882388,50,1
60,16,Existing,1,47,1,Urban,No,8820,96988,52,1
60,90,New,4,10,1,Rural,Yes,24070,579936,7,1
60,60,Existing,4,46,1,Rural,Yes,4232,135991,3,1
12,2,Existing,5,22,0,Rural,No,11122,412732,29,1
12,1,Existing,18,15,1,Rural,No,15023,516079,44,0
12,48,New,7,30,0,Rural,Yes,8007,911437,53,0
36,12,New,15,10,0,Urban,No,17905,536684,24,1
12,69,New,12,15,1,Rural,Yes,41786,94082,58,0
12,37,Existing,0,7,0,Urban,Yes,29398,946633,3,1
12,32,Existing,19,3,0,Rural,Yes,34268,138322,20,1
36,9,Existing,16,39,0,Urban,Yes,6737,666951,46,0
12,99,New,6,3,0,Rural,Yes,36062,21303,15,1
60,19,Existing,12,24,1,Urban,No,25510,171633,25,1
12,48,Existing,3,2,1,Rural,Yes,19426,343863,30,1
60,80,Existing,3,31,1,Urban,Yes,37265,259690,14,1
60,3,Existing,5,2,1,Rural,No,17850,794108,7,0
60,20,New,18,26,0,Urban,Yes,614,109616,17,1
36,24,New,11,28,0,Rural,No,21776,920597,44,1
36,54,Existing,6,31,1,Urban,No,24077,96231,20,1
36,33,New,9,49,1,Urban,No,9374,279458,36,0
12,24,New,18,18,1,Rural,Yes,35435,29623,9,1
60,75,Existing,6,20,0,Rural,Yes,30907,733035,38,0
36,72,Existing,2,4,1,Urban,Yes,13409,500042,48,0
36,36,New,12,17,1,Rural,No,16514,468298,57,1
12,38,Existing,12,27,1,Urban,Yes,29866,486840,22,1
36,84,New,17,41,0,Urban,No,2983,115228,54,0
12,99,Existing,19,21,0,Urban,Yes,31705,436346,53,1
24,89,New,7,20,0,Rural,No,20662,717116,53,0
36,99,Existing,8,5,0,Urban,Yes,23510,894056,2,0
24,25,New,6,0,0,Urban,Yes,12651,691652,24,1
12,93,New,0,4,0,Rural,Yes,40998,908217,8,1
60,18,New,2,40,0,Rural,No,28535,530547,11,0
36,82,Existing,12,11,0,Rural,No,6640,882638,13,0
12,66,New,16,25,1,Rural,Yes,44547,79274,17,0
60,54,New,0,45,1,Urban,Yes,15317,143541,8,0
60,35,Existing,5,33,0,Urban,No,7564,63947,21,1
24,80,Existing,5,48,0,Urban,No,27345,687894,18,1
12,61,New,11,13,1,Urban,No,48288,204692,30,1
60,41,New,12,25,0,Rural,Yes,28687,58874,18,1
36,33,Existing,12,44,0,Urban,No,13737,583996,46,1
36,68,Existing,14,26,0,Urban,Yes,9323,84553,47,0
24,33,Existing,15,8,1,Rural,No,15229,602632,31,1
60,14,Existing,10,25,1,Urban,Yes,44481,845570,38,1
12,21,Existing,4,46,1,Urban,No,8502,719662,32,1
36,48,New,3,21,1,Urban,No,545,581926,11,1
60,20,Existing,2,46,1,Urban,No,37114,88249,45,1
60,8,New,18,29,0,Urban,No,29430,902297,25,0
24,7,New,19,42,1,Urban,No,9996,537007,33,0
36,67,New,17,47,0,Rural,Yes,27788,688250,38,0
36,17,Existing,14,16,0,Rural,No,29969,480452,41,1
12,33,New,8,25,1,Urban,No,48543,439725,8,0
36,48,New,16,35,1,Urban,No,13919,52534,11,0
12,76,Existing,13,0,0,Rural,Yes,3810,505518,22,1
36,59,New,14,7,0,Urban,No,30586,626529,51,1
24,86,New,0,48,0,Urban,Yes,39974,422003,24,1
36,22,Existing,2,34,1,Urban,No,41773,136209,41,0
12,30,New,15,14,1,Rural,No,16371,452061,17,0
12,38,New,10,46,1,Urban,Yes,45084,199004,12,1
24,51,New,11,21,1,Rural,No,29629,626412,57,1
36,54,Existing,9,13,1,Urban,Yes,8436,625947,46,0
36,8,Existing,15,25,0,Rural,Yes,12984,174134,32,0
24,27,Existing,7,27,1,Rural,No,33039,85713,15,1
36,27,New,5,22,0,Urban,Yes,19895,752623,16,1
36,98,New,11,13,0,Rural,No,18155,498972,54,0
12,21,Existing,7,23,0,Urban,No,10616,987965,22,1
36,30,New,3,1,1,Rural,Yes,37129,85418,28,0
36,97,New,7,44,1,Urban,Yes,39837,994176,20,0
24,28,Existing,17,25,1,Urban,Yes,24574,138232,33,0
24,64,Existing,4,13,0,Rural,Yes,3430,962336,10,0
60,97,New,8,6,0,Urban,No,12676,530551,40,1
12,69,New,3,2,0,Urban,No,10816,173038,32,1
36,61,New,16,46,0,Rural,Yes,32733,940491,50,0
